                         11   1|nw = 49, c+1 = 167
                         11  1 |nw = 50, c+1 = 108
                         11  1 |nw = 50, c+1 = 179
                         11  1 |nw = 50, c+1 = 542
                         11  11|nw = 51, c+1 = 102
                         11  11|nw = 51, c+1 = 1032
                         11  11|nw = 51, c+1 = 164
                         11  11|nw = 51, c+1 = 276
                         11  11|nw = 51, c+1 = 285
                         11  11|nw = 51, c+1 = 313
                         11  11|nw = 51, c+1 = 583
                         11  11|nw = 51, c+1 = 596
                         11 1  |nw = 52, c+1 = 126
                         11 1  |nw = 52, c+1 = 306
                         11 1 1|nw = 53, c+1 = 104
                         11 1 1|nw = 53, c+1 = 125
                         11 1 1|nw = 53, c+1 = 168
                         11 1 1|nw = 53, c+1 = 180
                         11 1 1|nw = 53, c+1 = 278
                         11 1 1|nw = 53, c+1 = 311
                         11 1 1|nw = 53, c+1 = 538
                         11 1 1|nw = 53, c+1 = 582
                         11 11 |nw = 54, c+1 = 1038
                         11 11 |nw = 54, c+1 = 1040
                         11 11 |nw = 54, c+1 = 165
                         11 11 |nw = 54, c+1 = 177
                         11 11 |nw = 54, c+1 = 284
                         11 11 |nw = 54, c+1 = 543
                         11 11 |nw = 54, c+1 = 597
                         11 111|nw = 55, c+1 = 109
                         11 111|nw = 55, c+1 = 121
                         11 111|nw = 55, c+1 = 122
                         11 111|nw = 55, c+1 = 539
                         111   |nw = 56, c+1 = 178
                         111   |nw = 56, c+1 = 181
                         111  1|nw = 57, c+1 = 312
                         111  1|nw = 57, c+1 = 586
                         111 1 |nw = 58, c+1 = 286
                         111 1 |nw = 58, c+1 = 305
                         111 11|nw = 59, c+1 = 106
                         111 11|nw = 59, c+1 = 523
                         1111  |nw = 60, c+1 = 110
                         1111  |nw = 60, c+1 = 124
                         1111  |nw = 60, c+1 = 127
                         1111  |nw = 60, c+1 = 128
                         1111  |nw = 60, c+1 = 524
                         1111  |nw = 60, c+1 = 527
                         1111 1|nw = 61, c+1 = 123
                         11111 |nw = 62, c+1 = 111
                         11111 |nw = 62, c+1 = 277
                         11111 |nw = 62, c+1 = 307
                         11111 |nw = 62, c+1 = 528
                         111111|nw = 63, c+1 = 105
                         111111|nw = 63, c+1 = 166
                         111111|nw = 63, c+1 = 169
                         111111|nw = 63, c+1 = 279
                         111111|nw = 63, c+1 = 314
                         111111|nw = 63, c+1 = 587
                         111111|nw = 63, c+1 = 600
                        1      |nw = 64, c+1 = 1041
                        1      |nw = 64, c+1 = 1043
                        1      |nw = 64, c+1 = 321
                        1     1|nw = 65, c+1 = 196
                        1     1|nw = 65, c+1 = 232
                        1     1|nw = 65, c+1 = 602
                        1    1 |nw = 66, c+1 = 223
                        1    11|nw = 67, c+1 = 618
                        1   1  |nw = 68, c+1 = 193
                        1   1  |nw = 68, c+1 = 316
                        1   1 1|nw = 69, c+1 = 601
                        1   11 |nw = 70, c+1 = 225
                        1   11 |nw = 70, c+1 = 341
                        1   11 |nw = 70, c+1 = 544
                        1   111|nw = 71, c+1 = 182
                        1   111|nw = 71, c+1 = 185
                        1   111|nw = 71, c+1 = 234
                        1   111|nw = 71, c+1 = 347
                        1  1   |nw = 72, c+1 = 194
                        1  1   |nw = 72, c+1 = 323
                        1  1  1|nw = 73, c+1 = 1049
                        1  1  1|nw = 73, c+1 = 183
                        1  1  1|nw = 73, c+1 = 315
                        1  1  1|nw = 73, c+1 = 317
                        1  1  1|nw = 73, c+1 = 346
                        1  1  1|nw = 73, c+1 = 615
                        1  1  1|nw = 73, c+1 = 619
                        1  1 1 |nw = 74, c+1 = 224
                        1  1 1 |nw = 74, c+1 = 545
                        1  1 1 |nw = 74, c+1 = 549
                        1  1 1 |nw = 74, c+1 = 559
                        1  1 11|nw = 75, c+1 = 186
                        1  1 11|nw = 75, c+1 = 233
                        1  1 11|nw = 75, c+1 = 340
                        1  1 11|nw = 75, c+1 = 605
                        1  11  |nw = 76, c+1 = 195
                        1  11  |nw = 76, c+1 = 197
                        1  11  |nw = 76, c+1 = 322
                        1  11  |nw = 76, c+1 = 560
                        1  11 1|nw = 77, c+1 = 184
                        1  11 1|nw = 77, c+1 = 187
                        1  11 1|nw = 77, c+1 = 235
                        1  11 1|nw = 77, c+1 = 342
                        1  11 1|nw = 77, c+1 = 616
                        1  111 |nw = 78, c+1 = 226
                        1  111 |nw = 78, c+1 = 348
                        1  111 |nw = 78, c+1 = 563
                        1  1111|nw = 79, c+1 = 548
                        1 1    |nw = 80, c+1 = 188
                        1 1    |nw = 80, c+1 = 190
                        1 1    |nw = 80, c+1 = 238
                        1 1    |nw = 80, c+1 = 319
                        1 1   1|nw = 81, c+1 = 198
                        1 1   1|nw = 81, c+1 = 201
                        1 1   1|nw = 81, c+1 = 564
                        1 1  1 |nw = 82, c+1 = 1042
                        1 1  1 |nw = 82, c+1 = 227
                        1 1  1 |nw = 82, c+1 = 350
                        1 1  1 |nw = 82, c+1 = 606
                        1 1  11|nw = 83, c+1 = 1044
                        1 1 1  |nw = 84, c+1 = 191
                        1 1 1  |nw = 84, c+1 = 318
                        1 1 1  |nw = 84, c+1 = 565
                        1 1 1 1|nw = 85, c+1 = 324
                        1 1 1 1|nw = 85, c+1 = 326
                        1 1 11 |nw = 86, c+1 = 236
                        1 1 11 |nw = 86, c+1 = 607
                        1 1 111|nw = 87, c+1 = 199
                        1 1 111|nw = 87, c+1 = 230
                        1 1 111|nw = 87, c+1 = 344
                        1 1 111|nw = 87, c+1 = 603
                        1 1 111|nw = 87, c+1 = 617
                        1 11   |nw = 88, c+1 = 192
                        1 11   |nw = 88, c+1 = 325
                        1 11 1 |nw = 90, c+1 = 239
